probeID	symbol	description	accession	ensg	unigene
16	GREM2	"Gremlin 2, cysteine knot superfamily, homolog (Xenopus laevis)"	AI151500		Hs.98206
17	ZNF280B	Zinc finger protein 280B	AI279346	ENSG00000198477	Hs.43834
18		"MRNA, clone: RES4-16"	D25272	NA	Hs.661091
19	FGB	Fibrinogen beta chain	J00129	ENSG00000171564	Hs.300774
20	SCARA5	"Scavenger receptor class A, member 5 (putative)"	AI277612	ENSG00000168079	Hs.591833
21		Transcribed locus	AI609400		Hs.665440
22	RAC1	"Ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"	D25274	ENSG00000136238|ENSG00000136238|ENSG00000136238	Hs.413812
23		Transcribed locus	AA479969		Hs.663246
24	GPATCH2	G patch domain containing 2	AA398288		Hs.420757
25	FAM62B	Family with sequence similarity 62 (C2 domain containing) member B	AI636900	ENSG00000117868	Hs.490795
26		Transcribed locus	AI088361		Hs.435071
27	USP6NL	USP6 N-terminal like	AA741061		Hs.498661
28	GPM6A	Glycoprotein M6A	D49958	ENSG00000150625	Hs.75819
29			H95354		Data not found
30	PATE2	Prostate and testis expressed 2	AA884069	ENSG00000196844	Hs.369185
31	SLC38A10	"Solute carrier family 38, member 10"	AI743947		Hs.352240
32	MEI1	Meiosis inhibitor 1	AW195720	ENSG00000167077	Hs.116419
33	LOC100132815	Hypothetical protein LOC100132815	AW291311	ENSG00000213971	Hs.696175
34			AA856748		Data not found
35	STAC2	SH3 and cysteine rich domain 2	AI334987	ENSG00000141750	Hs.145068
36			AF155648		Data not found
37		"Homo sapiens, clone IMAGE:5218412, mRNA"	AW293849	NA|NA	Hs.659259
38	ZNF148	Zinc finger protein 148	AJ236885		Hs.592591
39	LRRFIP1	Leucine rich repeat (in FLII) interacting protein 1	AI435397		Hs.471779
40		Transcribed locus	AW291794		Hs.662385
41		Transcribed locus	AI032673		Hs.688532
42	SLC15A2	"Solute carrier family 15 (H+/peptide transporter), member 2"	S78203	ENSG00000163406|ENSG00000163406	Hs.518089
43		Transcribed locus	AI694129		Hs.112143
44	SAMD9L	Sterile alpha motif domain containing 9-like	AI400509		Hs.489118
45	LSM14B	"LSM14B, SCD6 homolog B (S. cerevisiae)"	AA761096	ENSG00000149657	Hs.105379
46	AIFM2	"Apoptosis-inducing factor, mitochondrion-associated, 2"	AI393971	ENSG00000042286|ENSG00000042286	Hs.655377
47	RNF130	Ring finger protein 130	AF155650	ENSG00000113269|ENSG00000113269	Hs.484363
48	SPRY3	Sprouty homolog 3 (Drosophila)	AA933967	ENSG00000168939	Hs.381912
49	KCMF1	Potassium channel modulatory factor 1	AF155652		Hs.654968
50			AI242199		Data not found
51	MRFAP1L1	Morf4 family associated protein 1-like 1	AF155654	ENSG00000178988	Hs.593159
52		CDNA clone IMAGE:40078968	AA398901	NA	Hs.97661
53		Transcribed locus	AA700644		Hs.91147
54	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	AI697569		Hs.498187
55			zero_barcode		Data not found
56			one_barcode		Data not found
57	THSD4	"Thrombospondin, type I, domain containing 4"	AI923745		Hs.387057
58	FAM122B	Family with sequence similarity 122B	AI582192	ENSG00000156504	Hs.404706
59	ACBD4	Acyl-Coenzyme A binding domain containing 4	AA827890	ENSG00000181513	Hs.110298
60	USP13	Ubiquitin specific peptidase 13 (isopeptidase T-3)	AI457613		Hs.175322
61	G3BP2	GTPase activating protein (SH3 domain) binding protein 2	AI677696	ENSG00000138757|ENSG00000138757	Hs.303676
62		"CDNA FLJ13598 fis, clone PLACE1009921"	AI655289	NA	Hs.60257
63	CLCN2	Chloride channel 2	AF026004		Hs.436847
64		Transcribed locus	AI701127		Hs.480068
65			AI859233		Data not found
66	C12orf30	Chromosome 12 open reading frame 30	AI049735	ENSG00000111300	Hs.530941
67		Transcribed locus	AA521387		Hs.661476
68		Transcribed locus	AA682425		Hs.601057
69	TTYH1	Tweety homolog 1 (Drosophila)	AI589804		Hs.268728
70		Transcribed locus	AI253094		Hs.145227
71	C19orf61	Chromosome 19 open reading frame 61	AW006171		Hs.466875
72	CKAP2L	Cytoskeleton associated protein 2-like	AW088063	ENSG00000169607	Hs.434250
73		Transcribed locus	AI949637		Hs.659753
74		CDNA clone IMAGE:5277380	AI628578	NA	Hs.503429
75	APIP	APAF1 interacting protein	AI346641	ENSG00000149089|ENSG00000149089|ENSG00000149089	Hs.447794
76	MS4A1	"Membrane-spanning 4-domains, subfamily A, member 1"	AI862674		Hs.712553
77	ERAP2	Endoplasmic reticulum aminopeptidase 2	AA830127		Hs.482910
78	CEP152	Centrosomal protein 152kDa	AI183572		Hs.597323
79		Transcribed locus	AI126206		Hs.662205
80		Transcribed locus	AI221013		Hs.145039
81		Transcribed locus	H15087		Hs.22381
82		Transcribed locus	AI672396		Hs.606078
83			AI282511_RC		Data not found
84			AA825998		Data not found
85	CST9L	Cystatin 9-like	AI631708	ENSG00000101435	Hs.121554
86	FAM53A	"Family with sequence similarity 53, member A"	AI041214	ENSG00000174137	Hs.143314
87	ANKDD1A	Ankyrin repeat and death domain containing 1A	T89385		Hs.207157
88		CDNA clone IMAGE:4821815	AI192452	NA	Hs.648410
89			AA972327		Data not found
90	PRR17	Proline rich 17	AL157500	ENSG00000196421	Hs.97840
91	RGS5	Regulator of G-protein signaling 5	AL157502		Hs.24950
92	MRPL19	Mitochondrial ribosomal protein L19	AL157503	ENSG00000115364|ENSG00000115364|ENSG00000115364	Hs.44024
93	GFRA1	GDNF family receptor alpha 1	AW263087	ENSG00000151892|ENSG00000151892|ENSG00000151892	Hs.388347
94	LOC100131928	Hypothetical protein LOC100131928	AI970148	NA	Hs.662298
95	LOC154761	Hypothetical LOC154761	AI018611	NA	Hs.716689
96			X98307		Data not found
97	IKZF2	IKAROS family zinc finger 2 (Helios)	AL157504	ENSG00000030419|ENSG00000030419	Hs.604950
98	LONRF2	LON peptidase N-terminal domain and ring finger 2	AL157505		Hs.21380
99	INF2	"Inverted formin, FH2 and WH2 domain containing"	AA618074	ENSG00000203485	Hs.24956
100	ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1	D31885	ENSG00000170540	Hs.634882
101	RAB3GAP1	RAB3 GTPase activating protein subunit 1 (catalytic)	D31886	ENSG00000115839|ENSG00000115839	Hs.306327
102	SLC39A14	"Solute carrier family 39 (zinc transporter), member 14"	D31887	ENSG00000104635	Hs.491232
103	NDRG4	NDRG family member 4	AB033006	ENSG00000103034	Hs.322430
104	ERGIC1	Endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	AB033007	ENSG00000113719	Hs.509163
105			AA398931		Data not found
106	PNMAL2	PNMA-like 2	AB033009	NA	Hs.7193
107	EPHB2	EPH receptor B2	AF025304	ENSG00000133216|ENSG00000133216	Hs.523329
108	MMD2	Monocyte to macrophage differentiation-associated 2	AI694314	ENSG00000136297	Hs.558694
109	PPP1R3E	"Protein phosphatase 1, regulatory (inhibitor) subunit 3E"	AA167748	NA	Hs.601513
110		Transcribed locus	AI656637		Hs.559765
111		Transcribed locus	AW291146		Hs.665573
